"danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "track_uri" "duration_ms" "time_signature" "key_mode"
0.517 0.559 "C" -7.291 "major" 0.027 0.0523 2.09e-06 0.308 0.172 76.648 "2OwVp843CshseouYgyj75O" 353867 4 "C major"
0.548 0.973 "A" -3.765 "major" 0.0844 0.00215 3.13e-05 0.118 0.167 102.812 "0LrzsyOx12QmZzRv35TVfk" 329173 4 "A major"
0.126 0.868 "A" -5.611 "major" 0.105 0.000205 0.868 0.281 0.178 77.398 "0R73vqxAyGaAFS63esvwQ8" 256827 4 "A major"
0.367 0.944 "F" -3.411 "major" 0.0803 0.000556 0.00514 0.0404 0.171 121.973 "6xZ6yd2vcUaQAhPt7V1whk" 725400 4 "F major"
0.56 0.743 "A" -6.794 "major" 0.047 0.0169 2.48e-05 0.314 0.491 153.477 "5Nu0bLCoyABg5UnNLYog1i" 363267 4 "A major"
0.487 0.974 "A" -4.611 "major" 0.0671 0.000399 0.0127 0.088 0.474 130.24 "0YpWHCssEj4f8OiBWEKNQn" 328640 4 "A major"
0.505 0.52 "A" -7.1 "minor" 0.0262 0.0305 0 0.2 0.0974 129.296 "5rielSbAmN45G7MzfNt3KP" 352560 4 "A minor"
0.237 0.933 "G" -5.177 "major" 0.107 0.00837 0.000437 0.298 0.226 93.873 "6Xg1qoCkQLiXaRymH6wwMR" 773373 4 "G major"
0.306 0.806 "E" -6.63 "minor" 0.0562 0.000575 0.031 0.103 0.225 115.709 "1qZGjqfS5QoZQ5BKAhAauT" 1388720 3 "E minor"
0.324 0.87 "A" -5.971 "major" 0.0437 0.00224 1.4e-05 0.132 0.533 111.791 "5IeadPozPLnQ99m8U7FhFe" 342427 4 "A major"
0.611 0.278 "E" -12.487 "minor" 0.0244 0.459 5.04e-06 0.0943 0.313 93.822 "2vzfV6LgfAWtv7JeSoEPFO" 227733 4 "E minor"
0.527 0.966 "A" -6.836 "major" 0.0536 0.000731 0.0775 0.596 0.228 102.199 "5CPXR6lDTvngxtmMZxnWmC" 492306 4 "A major"
0.454 0.614 "B" -10.41 "major" 0.0302 0.00223 1.16e-05 0.0936 0.343 140.56 "69kZsoRrSf7GBTSdJ4BjqA" 263120 4 "B major"
